ppm,absorbance
4000,1.68159997463226
4000,1.73870003223419
4000,1.76890003681183
2000,1.31309998035431
2000,1.30599999427795
2000,1.35889995098114
1000,0.742799997329712
1000,0.744599997997284
1000,0.76529997587204
750,0.601999998092651
750,0.602100014686585
750,0.617799997329712
500,0.381900012493134
500,0.385500013828278
500,0.384999990463257
250,0.172199994325638
250,0.176899999380112
250,0.181999996304512
125,0.0989999994635582
125,0.101000003516674
125,0.105999998748302
75,0.0865999981760979
75,0.0835999995470047
75,0.0868000015616417
50,0.0714000016450882
50,0.0725999996066093
50,0.0794000029563904
0,0.0522999987006187
0,0.0515000000596046
0,0.059799998998642
